id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
54,横浜市戸塚区,横浜市戸塚区南舞岡4丁目,76,,295,,112,,250,,182,,915
55,横浜市戸塚区,横浜市戸塚区柏尾町広町,152,,182,,20,,20,,280,,654
56,横浜市戸塚区,横浜市戸塚区平戸1丁目,289,,50,,272,,184,,255,,1050
57,横浜市戸塚区,横浜市戸塚区平戸2丁目,33,,154,,268,,38,,187,,680
58,横浜市戸塚区,横浜市戸塚区平戸3丁目,240,,8,,36,,20,,56,,360
59,横浜市戸塚区,横浜市戸塚区平戸4丁目,282,,265,,137,,172,,50,,906
60,横浜市戸塚区,横浜市戸塚区平戸5丁目,45,,226,,193,,66,,89,,619
61,鎌倉市,鎌倉市稲村ガ崎,250,,264,,39,,282,,65,,900
62,鎌倉市,鎌倉市岡本,295,,10,,94,,209,,197,,805
63,鎌倉市,鎌倉市梶原,91,,188,,35,,102,,97,,513
64,鎌倉市,鎌倉市鎌倉山,134,,136,,249,,205,,16,,740
65,鎌倉市,鎌倉市関谷,5,,5,,26,,203,,274,,513
66,鎌倉市,鎌倉市岩瀬,5,,246,,241,,46,,208,,746
67,鎌倉市,鎌倉市極楽寺,16,,118,,99,,242,,117,,592
68,鎌倉市,鎌倉市玉縄,30,,63,,52,,83,,43,,271
69,鎌倉市,鎌倉市御成町,0,,161,,171,,272,,182,,786
70,鎌倉市,鎌倉市高野,85,,263,,254,,116,,269,,987
71,鎌倉市,鎌倉市腰越,132,,26,,225,,206,,300,,889
72,鎌倉市,鎌倉市今泉,149,,101,,242,,8,,55,,555
73,鎌倉市,鎌倉市今泉台,1,,29,,231,,65,,78,,404
74,鎌倉市,鎌倉市佐助,161,,12,,181,,187,,244,,785
75,鎌倉市,鎌倉市材木座,185,,59,,149,,42,,98,,533
76,鎌倉市,鎌倉市坂ノ下,45,,42,,99,,273,,244,,703
77,鎌倉市,鎌倉市笹目町,250,,66,,46,,192,,79,,633
78,鎌倉市,鎌倉市山ノ内,217,,44,,281,,234,,241,,1017
79,鎌倉市,鎌倉市山崎,179,,86,,116,,102,,36,,519
80,鎌倉市,鎌倉市寺分,43,,222,,40,,285,,17,,607
81,鎌倉市,鎌倉市七里ガ浜,51,,118,,262,,71,,60,,562
82,鎌倉市,鎌倉市七里ガ浜東,83,,162,,20,,271,,151,,687
83,鎌倉市,鎌倉市手広,237,,28,,140,,30,,102,,537
84,鎌倉市,鎌倉市十二所,153,,47,,295,,102,,136,,733
85,鎌倉市,鎌倉市小袋谷,145,,97,,123,,222,,267,,854
86,鎌倉市,鎌倉市小町,227,,188,,90,,178,,7,,690
87,鎌倉市,鎌倉市上町屋,198,,183,,71,,150,,150,,752
88,鎌倉市,鎌倉市城廻,41,,47,,111,,93,,96,,388
89,鎌倉市,鎌倉市常盤,110,,71,,11,,226,,122,,540
90,鎌倉市,鎌倉市浄明寺,49,,240,,34,,232,,296,,851
91,鎌倉市,鎌倉市植木,65,,2,,178,,212,,2,,459
92,鎌倉市,鎌倉市西鎌倉,268,,155,,71,,248,,5,,747
93,鎌倉市,鎌倉市西御門,65,,15,,182,,87,,199,,548
94,鎌倉市,鎌倉市雪ノ下,26,,18,,183,,95,,217,,539
95,鎌倉市,鎌倉市扇ガ谷,38,,300,,22,,274,,223,,857
96,鎌倉市,鎌倉市台,120,,136,,267,,229,,125,,877
97,鎌倉市,鎌倉市大船,63,,257,,109,,179,,93,,701
98,鎌倉市,鎌倉市大町,12,,234,,42,,133,,201,,622
99,鎌倉市,鎌倉市長谷,235,,187,,285,,254,,193,,1154
100,鎌倉市,鎌倉市津,271,,77,,254,,67,,281,,950
101,鎌倉市,鎌倉市津西,11,,55,,230,,190,,285,,771
102,鎌倉市,鎌倉市笛田,14,,226,,106,,200,,298,,844
103,鎌倉市,鎌倉市二階堂,286,,219,,183,,75,,90,,853
104,鎌倉市,鎌倉市由比ガ浜,61,,229,,144,,27,,243,,704
105,鎌倉市,鎌倉市稲村ガ崎1丁目,31,,152,,209,,37,,19,,448
106,鎌倉市,鎌倉市稲村ガ崎2丁目,163,,193,,202,,80,,22,,660
107,鎌倉市,鎌倉市稲村ガ崎3丁目,196,,42,,290,,222,,128,,878
108,鎌倉市,鎌倉市稲村ガ崎4丁目,137,,157,,285,,218,,77,,874
109,鎌倉市,鎌倉市稲村ガ崎5丁目,244,,246,,43,,270,,204,,1007
110,鎌倉市,鎌倉市岡本1丁目,43,,145,,118,,20,,101,,427
111,鎌倉市,鎌倉市岡本2丁目,91,,270,,203,,170,,183,,917
112,鎌倉市,鎌倉市梶原1丁目,297,,4,,259,,11,,36,,607
113,鎌倉市,鎌倉市梶原2丁目,16,,106,,32,,273,,129,,556
114,鎌倉市,鎌倉市梶原3丁目,209,,176,,49,,46,,44,,524
115,鎌倉市,鎌倉市梶原4丁目,208,,58,,245,,71,,277,,859
116,鎌倉市,鎌倉市梶原5丁目,255,,44,,193,,195,,179,,866
117,鎌倉市,鎌倉市鎌倉山1丁目,80,,99,,134,,182,,204,,699
118,鎌倉市,鎌倉市鎌倉山2丁目,76,,196,,167,,263,,100,,802
119,鎌倉市,鎌倉市鎌倉山3丁目,288,,84,,247,,83,,239,,941
120,鎌倉市,鎌倉市鎌倉山4丁目,41,,199,,67,,39,,76,,422
121,鎌倉市,鎌倉市岩瀬1丁目,81,,289,,140,,92,,101,,703
122,鎌倉市,鎌倉市極楽寺1丁目,108,,97,,292,,34,,263,,794
123,鎌倉市,鎌倉市極楽寺2丁目,168,,31,,218,,65,,36,,518
124,鎌倉市,鎌倉市極楽寺3丁目,99,,237,,27,,151,,138,,652
125,鎌倉市,鎌倉市極楽寺4丁目,162,,70,,81,,206,,64,,583
126,鎌倉市,鎌倉市玉縄1丁目,27,,222,,220,,107,,279,,855
127,鎌倉市,鎌倉市玉縄2丁目,73,,130,,68,,164,,182,,617
128,鎌倉市,鎌倉市玉縄3丁目,40,,182,,46,,97,,205,,570
129,鎌倉市,鎌倉市玉縄4丁目,263,,201,,67,,273,,39,,843
130,鎌倉市,鎌倉市玉縄5丁目,217,,259,,179,,144,,60,,859
131,鎌倉市,鎌倉市腰越1丁目,17,,31,,205,,128,,87,,468
132,鎌倉市,鎌倉市腰越2丁目,87,,53,,48,,214,,262,,664
133,鎌倉市,鎌倉市腰越3丁目,37,,203,,175,,212,,150,,777
134,鎌倉市,鎌倉市腰越4丁目,272,,136,,119,,191,,20,,738
135,鎌倉市,鎌倉市腰越5丁目,237,,60,,264,,300,,176,,1037
136,鎌倉市,鎌倉市今泉1丁目,265,,136,,171,,151,,122,,845
137,鎌倉市,鎌倉市今泉2丁目,46,,86,,246,,84,,234,,696
138,鎌倉市,鎌倉市今泉3丁目,137,,202,,204,,212,,172,,927
139,鎌倉市,鎌倉市今泉4丁目,189,,75,,76,,120,,78,,538
140,鎌倉市,鎌倉市今泉5丁目,135,,77,,265,,218,,111,,806
141,鎌倉市,鎌倉市今泉台1丁目,124,,222,,69,,74,,300,,789
142,鎌倉市,鎌倉市今泉台2丁目,169,,51,,144,,39,,160,,563
143,鎌倉市,鎌倉市今泉台3丁目,146,,3,,151,,20,,203,,523
144,鎌倉市,鎌倉市今泉台4丁目,42,,169,,157,,42,,103,,513
145,鎌倉市,鎌倉市今泉台5丁目,61,,240,,105,,151,,172,,729
146,鎌倉市,鎌倉市今泉台6丁目,111,,116,,109,,257,,189,,782
147,鎌倉市,鎌倉市今泉台7丁目,0,,300,,134,,113,,279,,826
148,鎌倉市,鎌倉市佐助1丁目,189,,85,,34,,114,,227,,649
149,鎌倉市,鎌倉市佐助2丁目,59,,241,,227,,183,,213,,923
150,鎌倉市,鎌倉市材木座1丁目,137,,168,,291,,53,,58,,707
151,鎌倉市,鎌倉市材木座2丁目,130,,185,,208,,158,,201,,882
152,鎌倉市,鎌倉市材木座3丁目,108,,160,,295,,203,,31,,797
153,鎌倉市,鎌倉市材木座4丁目,287,,15,,128,,119,,23,,572
154,鎌倉市,鎌倉市材木座5丁目,147,,177,,7,,41,,265,,637
155,鎌倉市,鎌倉市材木座6丁目,110,,247,,258,,107,,36,,758
156,鎌倉市,鎌倉市寺分1丁目,294,,55,,83,,217,,59,,708
157,鎌倉市,鎌倉市寺分2丁目,230,,186,,7,,91,,233,,747
158,鎌倉市,鎌倉市寺分3丁目,275,,137,,240,,261,,36,,949
159,鎌倉市,鎌倉市七里ガ浜1丁目,221,,43,,44,,273,,80,,661
160,鎌倉市,鎌倉市七里ガ浜2丁目,103,,16,,283,,125,,117,,644
161,鎌倉市,鎌倉市七里ガ浜東1丁目,249,,195,,89,,153,,100,,786
162,鎌倉市,鎌倉市七里ガ浜東2丁目,1,,121,,145,,24,,121,,412
163,鎌倉市,鎌倉市七里ガ浜東3丁目,198,,81,,158,,202,,27,,666
164,鎌倉市,鎌倉市七里ガ浜東4丁目,238,,217,,6,,225,,180,,866
165,鎌倉市,鎌倉市七里ガ浜東5丁目,155,,261,,146,,27,,36,,625
166,鎌倉市,鎌倉市手広1丁目,7,,122,,225,,94,,51,,499
167,鎌倉市,鎌倉市手広2丁目,142,,198,,31,,267,,208,,846
168,鎌倉市,鎌倉市手広3丁目,161,,101,,156,,294,,167,,879
169,鎌倉市,鎌倉市手広4丁目,176,,138,,205,,45,,189,,753
170,鎌倉市,鎌倉市手広5丁目,160,,258,,43,,80,,248,,789
171,鎌倉市,鎌倉市手広6丁目,227,,100,,68,,219,,77,,691
172,鎌倉市,鎌倉市小袋谷1丁目,75,,79,,52,,195,,72,,473
173,鎌倉市,鎌倉市小袋谷2丁目,64,,97,,1,,136,,290,,588
174,鎌倉市,鎌倉市小町1丁目,17,,128,,148,,246,,14,,553
175,鎌倉市,鎌倉市小町2丁目,50,,169,,69,,264,,7,,559
176,鎌倉市,鎌倉市小町3丁目,265,,150,,253,,186,,0,,854
177,鎌倉市,鎌倉市浄明寺1丁目,29,,155,,292,,34,,95,,605
178,鎌倉市,鎌倉市浄明寺2丁目,166,,90,,227,,197,,63,,743
179,鎌倉市,鎌倉市浄明寺3丁目,218,,24,,49,,253,,11,,555
180,鎌倉市,鎌倉市浄明寺4丁目,216,,65,,113,,175,,56,,625
181,鎌倉市,鎌倉市浄明寺5丁目,89,,280,,183,,226,,117,,895
182,鎌倉市,鎌倉市浄明寺6丁目,277,,277,,15,,227,,286,,1082
183,鎌倉市,鎌倉市西鎌倉1丁目,177,,158,,185,,103,,233,,856
184,鎌倉市,鎌倉市西鎌倉2丁目,160,,182,,264,,290,,131,,1027
185,鎌倉市,鎌倉市西鎌倉3丁目,26,,56,,190,,268,,139,,679
186,鎌倉市,鎌倉市西鎌倉4丁目,13,,93,,209,,287,,186,,788
187,鎌倉市,鎌倉市西御門1丁目,110,,254,,65,,69,,246,,744
188,鎌倉市,鎌倉市西御門2丁目,138,,124,,62,,30,,290,,644
189,鎌倉市,鎌倉市雪ノ下1丁目,260,,127,,186,,157,,98,,828
190,鎌倉市,鎌倉市雪ノ下2丁目,90,,241,,57,,13,,82,,483
191,鎌倉市,鎌倉市雪ノ下3丁目,228,,252,,216,,192,,101,,989
192,鎌倉市,鎌倉市雪ノ下4丁目,249,,87,,172,,296,,68,,872
193,鎌倉市,鎌倉市雪ノ下5丁目,26,,268,,7,,138,,99,,538
194,鎌倉市,鎌倉市扇ガ谷1丁目,188,,262,,286,,170,,108,,1014
195,鎌倉市,鎌倉市扇ガ谷2丁目,221,,149,,88,,202,,123,,783
196,鎌倉市,鎌倉市扇ガ谷3丁目,256,,2,,212,,187,,135,,792
197,鎌倉市,鎌倉市扇ガ谷4丁目,73,,65,,295,,173,,188,,794
198,鎌倉市,鎌倉市台1丁目,133,,60,,184,,165,,5,,547
199,鎌倉市,鎌倉市台2丁目,116,,86,,73,,102,,105,,482
200,鎌倉市,鎌倉市台3丁目,113,,44,,264,,55,,97,,573
201,鎌倉市,鎌倉市台4丁目,47,,229,,288,,292,,7,,863
202,鎌倉市,鎌倉市台5丁目,226,,241,,78,,6,,81,,632
203,鎌倉市,鎌倉市大船1丁目,116,,169,,120,,113,,176,,694
204,鎌倉市,鎌倉市大船2丁目,160,,209,,191,,222,,9,,791
205,鎌倉市,鎌倉市大船3丁目,83,,238,,225,,283,,31,,860
206,鎌倉市,鎌倉市大船4丁目,214,,123,,282,,253,,254,,1126
207,鎌倉市,鎌倉市大船5丁目,66,,300,,122,,119,,38,,645
208,鎌倉市,鎌倉市大船6丁目,38,,78,,170,,127,,154,,567
209,鎌倉市,鎌倉市大町1丁目,33,,8,,218,,284,,216,,759
210,鎌倉市,鎌倉市大町2丁目,234,,195,,6,,5,,183,,623
211,鎌倉市,鎌倉市大町3丁目,144,,62,,131,,0,,150,,487
212,鎌倉市,鎌倉市大町4丁目,8,,81,,267,,42,,130,,528
213,鎌倉市,鎌倉市大町5丁目,229,,234,,23,,228,,210,,924
214,鎌倉市,鎌倉市大町6丁目,126,,262,,247,,21,,283,,939
215,鎌倉市,鎌倉市大町7丁目,298,,268,,26,,170,,177,,939
216,鎌倉市,鎌倉市長谷1丁目,233,,194,,280,,246,,290,,1243
217,鎌倉市,鎌倉市長谷2丁目,84,,296,,119,,234,,101,,834
218,鎌倉市,鎌倉市長谷3丁目,276,,166,,296,,119,,76,,933
219,鎌倉市,鎌倉市長谷4丁目,19,,103,,281,,293,,38,,734
220,鎌倉市,鎌倉市長谷5丁目,219,,264,,242,,132,,242,,1099
221,鎌倉市,鎌倉市津西1丁目,185,,125,,48,,202,,46,,606
222,鎌倉市,鎌倉市津西2丁目,151,,106,,214,,287,,43,,801
223,鎌倉市,鎌倉市笛田1丁目,276,,178,,218,,286,,149,,1107
224,鎌倉市,鎌倉市笛田2丁目,264,,126,,216,,171,,99,,876
225,鎌倉市,鎌倉市笛田3丁目,29,,256,,182,,200,,193,,860
226,鎌倉市,鎌倉市笛田4丁目,126,,250,,247,,200,,115,,938
227,鎌倉市,鎌倉市笛田5丁目,32,,120,,45,,147,,292,,636
228,鎌倉市,鎌倉市笛田6丁目,115,,135,,116,,87,,284,,737
229,鎌倉市,鎌倉市由比ガ浜1丁目,218,,38,,283,,108,,249,,896
230,鎌倉市,鎌倉市由比ガ浜2丁目,21,,207,,29,,29,,287,,573
231,鎌倉市,鎌倉市由比ガ浜3丁目,293,,295,,19,,186,,252,,1045
232,鎌倉市,鎌倉市由比ガ浜4丁目,156,,292,,286,,228,,264,,1226
233,足柄上郡大井町,足柄上郡大井町金子,297,,273,,55,,74,,4,,703
234,足柄上郡大井町,足柄上郡大井町金手,151,,79,,8,,0,,259,,497
235,足柄上郡大井町,足柄上郡大井町高尾,33,,159,,75,,249,,208,,724
236,足柄上郡大井町,足柄上郡大井町山田,123,,48,,203,,134,,234,,742
237,足柄上郡大井町,足柄上郡大井町篠窪,180,,124,,175,,58,,176,,713
238,足柄上郡大井町,足柄上郡大井町上大井,279,,191,,83,,43,,127,,723
239,足柄上郡大井町,足柄上郡大井町西大井,117,,238,,5,,182,,193,,735
240,足柄上郡大井町,足柄上郡大井町赤田,133,,145,,135,,132,,115,,660
241,足柄上郡大井町,足柄上郡大井町柳,107,,193,,90,,173,,142,,705
242,足柄上郡大井町,足柄上郡大井町金子中の町,254,,86,,261,,224,,265,,1090
243,足柄上郡大井町,足柄上郡大井町金子深町,124,,66,,164,,272,,147,,773
244,愛甲郡愛川町,愛甲郡愛川町角田,202,,293,,220,,219,,128,,1062
245,愛甲郡愛川町,愛甲郡愛川町三増,60,,74,,298,,73,,260,,765
246,愛甲郡愛川町,愛甲郡愛川町春日台,170,,246,,274,,149,,15,,854
247,愛甲郡愛川町,愛甲郡愛川町棚澤,19,,259,,96,,238,,197,,809
248,愛甲郡愛川町,愛甲郡愛川町中津,281,,157,,66,,157,,238,,899
249,愛甲郡愛川町,愛甲郡愛川町田代,216,,262,,293,,76,,193,,1040
250,愛甲郡愛川町,愛甲郡愛川町八菅山,214,,190,,69,,248,,215,,936
251,愛甲郡愛川町,愛甲郡愛川町半原,144,,202,,297,,58,,69,,770
252,愛甲郡愛川町,愛甲郡愛川町春日台1丁目,171,,155,,292,,18,,153,,789
253,愛甲郡愛川町,愛甲郡愛川町春日台2丁目,195,,214,,266,,11,,104,,790
254,愛甲郡愛川町,愛甲郡愛川町春日台3丁目,63,,222,,297,,174,,31,,787
255,愛甲郡愛川町,愛甲郡愛川町春日台4丁目,269,,286,,214,,136,,173,,1078
256,愛甲郡愛川町,愛甲郡愛川町春日台5丁目,270,,191,,4,,87,,265,,817
257,愛甲郡愛川町,愛甲郡愛川町田代戸倉,52,,8,,48,,234,,233,,575
258,足柄上郡開成町,足柄上郡開成町みなみ,283,,40,,183,,212,,172,,890
259,足柄上郡開成町,足柄上郡開成町円通寺,236,,106,,102,,114,,239,,797
260,足柄上郡開成町,足柄上郡開成町延沢,170,,267,,270,,295,,157,,1159
261,足柄上郡開成町,足柄上郡開成町岡野,193,,168,,61,,252,,255,,929
262,足柄上郡開成町,足柄上郡開成町吉田島,282,,102,,282,,282,,32,,980
263,足柄上郡開成町,足柄上郡開成町宮台,49,,84,,244,,142,,254,,773
264,足柄上郡開成町,足柄上郡開成町牛島,280,,21,,219,,182,,119,,821
265,足柄上郡開成町,足柄上郡開成町金井島,244,,23,,223,,139,,3,,632
266,足柄上郡開成町,足柄上郡開成町中之名,139,,196,,184,,209,,267,,995
267,足柄上郡開成町,足柄上郡開成町みなみ1丁目,34,,179,,240,,140,,31,,624
268,足柄上郡開成町,足柄上郡開成町みなみ2丁目,155,,59,,111,,104,,133,,562
269,足柄上郡開成町,足柄上郡開成町みなみ3丁目,234,,273,,261,,109,,104,,981
270,足柄上郡開成町,足柄上郡開成町みなみ4丁目,294,,198,,289,,168,,99,,1048
271,足柄上郡開成町,足柄上郡開成町みなみ5丁目,156,,49,,284,,155,,42,,686
272,足柄上郡中井町,足柄上郡中井町井ノ口,91,,33,,143,,21,,126,,414
273,足柄上郡中井町,足柄上郡中井町遠藤,235,,234,,31,,156,,132,,788
274,足柄上郡中井町,足柄上郡中井町鴨沢,5,,127,,213,,234,,180,,759
275,足柄上郡中井町,足柄上郡中井町岩倉,106,,62,,289,,43,,209,,709
276,足柄上郡中井町,足柄上郡中井町久所,120,,253,,297,,29,,257,,956
277,足柄上郡中井町,足柄上郡中井町境,39,,92,,44,,49,,85,,309
278,足柄上郡中井町,足柄上郡中井町境別所,204,,135,,268,,78,,157,,842
279,足柄上郡中井町,足柄上郡中井町古怒田,50,,120,,170,,196,,26,,562
280,足柄上郡中井町,足柄上郡中井町雑色,44,,196,,133,,217,,285,,875
281,足柄上郡中井町,足柄上郡中井町松本,21,,68,,56,,25,,222,,392
282,足柄上郡中井町,足柄上郡中井町田中,69,,77,,26,,84,,56,,312
283,足柄上郡中井町,足柄上郡中井町藤沢,32,,104,,118,,187,,297,,738
284,足柄上郡中井町,足柄上郡中井町半分形,94,,265,,86,,103,,82,,630
285,足柄上郡中井町,足柄上郡中井町比奈窪,227,,243,,54,,33,,159,,716
286,足柄上郡中井町,足柄上郡中井町北田,220,,274,,39,,20,,90,,643
287,足柄上郡中井町,足柄上郡中井町井ノ口米山,99,,92,,24,,72,,256,,543
288,横浜市都筑区,横浜市都筑区あゆみが丘,94,,296,,275,,16,,277,,958
289,横浜市都筑区,横浜市都筑区すみれが丘,63,,273,,50,,106,,115,,607
290,横浜市都筑区,横浜市都筑区荏田東,86,,111,,259,,3,,170,,629
291,横浜市都筑区,横浜市都筑区荏田東町,232,,72,,63,,87,,139,,593
292,横浜市都筑区,横浜市都筑区荏田南,264,,3,,222,,23,,155,,667
293,横浜市都筑区,横浜市都筑区荏田南町,10,,260,,118,,211,,198,,797
294,横浜市都筑区,横浜市都筑区加賀原,206,,259,,135,,255,,257,,1112
295,横浜市都筑区,横浜市都筑区葛が谷,22,,161,,37,,13,,180,,413
296,横浜市都筑区,横浜市都筑区茅ケ崎中央,192,,281,,17,,124,,58,,672
297,横浜市都筑区,横浜市都筑区茅ケ崎町,151,,209,,33,,18,,218,,629
298,横浜市都筑区,横浜市都筑区茅ケ崎東,233,,241,,295,,231,,25,,1025
299,横浜市都筑区,横浜市都筑区茅ケ崎南,233,,143,,127,,262,,130,,895
300,横浜市都筑区,横浜市都筑区牛久保,112,,290,,233,,97,,58,,790
301,横浜市都筑区,横浜市都筑区牛久保西,284,,37,,253,,49,,136,,759
302,横浜市都筑区,横浜市都筑区牛久保町,247,,292,,218,,202,,268,,1227
303,横浜市都筑区,横浜市都筑区牛久保東,22,,23,,207,,265,,4,,521
304,横浜市都筑区,横浜市都筑区見花山,184,,236,,101,,26,,51,,598
305,横浜市都筑区,横浜市都筑区高山,143,,164,,102,,295,,124,,828
306,横浜市都筑区,横浜市都筑区佐江戸町,148,,210,,183,,74,,68,,683
307,横浜市都筑区,横浜市都筑区桜並木,68,,261,,291,,289,,56,,965
308,横浜市都筑区,横浜市都筑区勝田町,73,,117,,116,,164,,227,,697
309,横浜市都筑区,横浜市都筑区勝田南,214,,140,,232,,156,,213,,955
310,横浜市都筑区,横浜市都筑区新栄町,273,,283,,264,,196,,6,,1022
311,横浜市都筑区,横浜市都筑区折本町,274,,31,,192,,99,,101,,697
312,横浜市都筑区,横浜市都筑区川向町,206,,201,,208,,177,,39,,831
313,横浜市都筑区,横浜市都筑区川和台,186,,230,,88,,57,,299,,860
314,横浜市都筑区,横浜市都筑区川和町,86,,267,,240,,240,,237,,1070
315,横浜市都筑区,横浜市都筑区早渕,49,,68,,196,,20,,180,,513
316,横浜市都筑区,横浜市都筑区大丸,247,,147,,285,,163,,189,,1031
317,横浜市都筑区,横浜市都筑区大熊町,134,,261,,261,,31,,257,,944
318,横浜市都筑区,横浜市都筑区大棚西,132,,210,,187,,72,,0,,601
319,横浜市都筑区,横浜市都筑区大棚町,286,,154,,129,,66,,192,,827
320,横浜市都筑区,横浜市都筑区池辺町,208,,106,,238,,3,,128,,683
321,横浜市都筑区,横浜市都筑区中川,195,,47,,36,,79,,196,,553
322,横浜市都筑区,横浜市都筑区中川中央,56,,169,,212,,175,,172,,784
323,横浜市都筑区,横浜市都筑区仲町台,24,,150,,137,,179,,164,,654
324,横浜市都筑区,横浜市都筑区長坂,119,,298,,101,,70,,115,,703
325,横浜市都筑区,横浜市都筑区東山田,203,,267,,2,,70,,270,,812
326,横浜市都筑区,横浜市都筑区東山田町,95,,8,,227,,72,,144,,546
327,横浜市都筑区,横浜市都筑区東方町,287,,103,,54,,0,,81,,525
328,横浜市都筑区,横浜市都筑区南山田,49,,177,,14,,129,,30,,399
329,横浜市都筑区,横浜市都筑区南山田町,259,,125,,105,,198,,117,,804
330,横浜市都筑区,横浜市都筑区二の丸,127,,297,,231,,13,,288,,956
331,横浜市都筑区,横浜市都筑区富士見が丘,150,,16,,277,,109,,207,,759
332,横浜市都筑区,横浜市都筑区平台,300,,70,,159,,7,,286,,822
333,横浜市都筑区,横浜市都筑区北山田,280,,277,,158,,297,,212,,1224
